group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,מרגל,‏جَاسُوس,N/A,N/A
שמות עצם,plural,N/A,מרגל,‏جَوَاسِيس,N/A,N/A
שמות עצם,single,N/A,כַּתָּב,‏مُرَاسِل,N/A,N/A
שמות עצם,plural,N/A,כַּתָּב,‏مُرَاسِلونَ,N/A,N/A
שמות עצם,single,N/A,"מידע, אינפורמציה",‏مَعْلُومَات,N/A,N/A
שמות עצם,single,N/A,סוד,‏سِرّ,N/A,N/A
שמות עצם,plural,N/A,סוד,‏أَسْرَار,N/A,N/A
שמות עצם,single,N/A,תוכנית (קו פעולה),‏خُطّة,N/A,N/A
שמות עצם,plural,N/A,תוכנית (קו פעולה),‏خُطَط,N/A,N/A
שמות עצם,single,N/A,רוח,‏رِيح,N/A,N/A
שמות עצם,plural,N/A,רוח,‏رِيَاح,N/A,N/A
שמות עצם,single,N/A,מהירות,‏سُرْعَة,N/A,N/A
שמות עצם,single,N/A,במהירות,‏بِسُرْعَة,N/A,N/A
שמות עצם,single,N/A,"אוויר, מזג אוויר, אווירה",‏جَوّ,N/A,N/A
שמות עצם,single,N/A,מזג האוויר (מיל': המצבים האוויריים),‏أَلْأَحْوَال اُلْجَوِّيَّة,N/A,N/A
שמות עצם,single,N/A,"התחזית, מזג האוויר",‏حَالَة الطَّقْس,N/A,N/A
שמות עצם,single,N/A,מָכוֹן,‏مَعْهَد,N/A,N/A
שמות עצם,plural,N/A,מָכוֹן,‏مَعَاهِد,N/A,N/A
שמות עצם,single,N/A,ים,‏بَحْر,N/A,N/A
שמות עצם,plural,N/A,ים,‏بِحَار,N/A,N/A
שמות עצם,single,N/A,חוף,‏شَاطِئ,N/A,N/A
שמות עצם,plural,N/A,חוף,‏شَوَاطِئ,N/A,N/A
שמות עצם,single,N/A,"צַעַר, יגון, אֵבֶל",‏حُزْن,N/A,N/A
שמות עצם,single,N/A,אסון,‏كَارِثَة,N/A,N/A
שמות עצם,plural,N/A,אסון,‏كَوَارِث,N/A,N/A
שמות עצם,single,N/A,"חוק, דין",‏قَانُون,N/A,N/A
שמות עצם,plural,N/A,"חוק, דין",‏قَوَانِين,N/A,N/A
שמות עצם,single,N/A,"אֶמְצָעִי, כלי",‏وَسِيلَة,N/A,N/A
שמות עצם,plural,N/A,"אֶמְצָעִי, כלי",‏وَسَائِل,N/A,N/A
שמות עצם,single,N/A,אֶמְצָעֵי התקשורת,‏وَسَائِل الْإِعْلَام,N/A,N/A
פעלים,single,N/A,נמלט ל...,‏لَجَأَ إِلَى,N/A,N/A
פעלים,single,N/A,"שב, חזר",‏عَادَ,N/A,N/A
פעלים,single,N/A,"הצביע על..., ציין את, סימֵן, רָמַז",‏أَشَارَ إِلَى,N/A,N/A
פעלים,single,N/A,"יָכול, הצליח לעשות",‏إِسْتَطَاعَ,N/A,N/A
