group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,תחנה,‏مَحَطَّة,N/A
שמות עצם,plural,N/A,תחנה,‏مَحَطَّات,N/A
שמות עצם,single,N/A,רכבת,‏قِطَار,N/A
שמות עצם,plural,N/A,רכבת,‏قِطَارَات,N/A
שמות עצם,single,N/A,"מטען חומר נפץ, מטען חבלה (מטען מפוצץ)",‏عُبُوَّة نَاسِفَة,N/A
שמות עצם,plural,N/A,"מטען חומר נפץ, מטען חבלה (מטען מפוצץ)",‏عُبُوَّات نَاسِفَات,N/A
שמות עצם,single,N/A,"איש, אדם, גבר (man)",‏رَجُل,N/A
שמות עצם,plural,N/A,"איש, אדם, גבר (man)",‏رِجَال,N/A
שמות עצם,single,N/A,איש (person),‏شَخْص,N/A
שמות עצם,plural,N/A,איש (person),‏أَشْخَاص,N/A
שמות עצם,single,N/A,שלושה אנשים (three people),‏ثَلَاثَة أَشْخَاص,N/A
שמות עצם,single,N/A,שלושה גברים (three men),‏ثَلَاثَة رِجَال,N/A
שמות עצם,single,N/A,פגיעה,‏إِصَابَة,N/A
שמות עצם,plural,N/A,פגיעה,‏إِصَابَات,N/A
שמות עצם,single,N/A,פצע,‏جُرْح,N/A
שמות עצם,plural,N/A,פצע,‏جُرُوح,‏جِرَاح
שמות עצם,single,N/A,"פציעת איש באורח קל, איש נפצע באורח קל",‏إِصَابَة رَجُل بِجُرُوح طَفِيفَة,N/A
שמות עצם,single,N/A,רפובליקה,‏جُمْهُورِيَّة,N/A
שמות עצם,plural,N/A,רפובליקה,‏جُمْهُورِيَّات,N/A
שמות עצם,single,N/A,שירות,‏خِدْمَة,N/A
שמות עצם,single,N/A,אני לשירותך (I'm at your service),‏أَنَا فِي خِدْمَتِكَ,N/A
פעלים,single,N/A,"שם, הניח",‏وَضَعَ,N/A
פעלים,single,N/A,"העביר, הוביל",‏نَقَلَ,N/A
פעלים,single,N/A,שירת,‏خَدَمَ,N/A
פעלים,single,N/A,"הניח ידו על, תפס, עצר",‏قَبَضَ عَلَى,N/A
פעלים,single,N/A,"גרם ל..., הביא לידי",‏أَدَّى إِلَى,N/A
פעלים,single,N/A,אימן,‏دَرَّبَ,N/A
פעלים,single,N/A,"ארגן, ערך, סדר, תכנן, תאם",‏نَظَّمَ,N/A
פעלים,single,N/A,"סרק (שיער, אזור)",‏مَشَّطَ,N/A
פעלים,single,N/A,"חיבר (ספר), הרכיב",‏أَلَّفَ,N/A
פעלים,single,N/A,זייף,‏زَوَّرَ,N/A
פעלים,single,N/A,חגג את,‏إِحْتَفَلَ بِ,N/A
פעלים,single,N/A,השתמש ב...,‏إِسْتَعْمَلَ,N/A
