group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,"בעל־חיים, חיה",‏حَيَوَان,N/A
שמות עצם,plural,N/A,"בעל־חיים, חיה",‏حَيَوَانَات,N/A
שמות עצם,single,N/A,גב,‏ظَهْر,N/A
שמות עצם,single,N/A,חמור,‏حِمَار,N/A
שמות עצם,plural,N/A,חמור,‏حَمِير,N/A
שמות עצם,single,N/A,סוס,‏حِصَان,N/A
שמות עצם,plural,N/A,סוס,‏حُصُن,N/A
שמות עצם,single,N/A,כוח סוס,‏قُوَّة حِصَان,N/A
שמות עצם,single,N/A,קיץ,‏صَيْف,N/A
שמות עצם,single,N/A,חום,‏حَرَارَة,N/A
שמות עצם,single,N/A,שֶמֶש,‏شَمْس,N/A
שמות עצם,single,N/A,משרד השיכון,‏وِزَارَة ٱلْإِسْكَان,N/A
שמות עצם,single,N/A,תקציב,‏مِيزَانِيَّة,N/A
פעלים,single,N/A,התבצע,‏تَمَّ,N/A
פעלים,single,N/A,שידר,‏بَثَّ,N/A
פעלים,single,N/A,פתר,‏حَلَّ,N/A
פעלים,single,N/A,הכין,‏أَعَدَّ,N/A
פעלים,single,N/A,הצטרף אל...,‏اِنْضَمَّ إِلَى,N/A
פעלים,single,N/A,כבש,‏إِحْتَلَّ,N/A
פעלים,single,N/A,אילץ את... ל...,‏إِضْطَرَّ إِلَى,N/A
פעלים,single,N/A,נאלץ ל...,‏أُضْطُرَّ إِلَى,N/A
פעלים,single,N/A,התכונן ל...,‏إِسْتَعَدَّ,N/A
פעלים,single,N/A,היה עצמאי,‏إِسْتَقَلَّ,N/A
